last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Pivetta, Nick,R,93.7,93.4,,,,26.7,90.2
Jiménez, Joe,R,93.6,,,89.8,,30.4,
Gallegos, Giovanny,R,93.6,,,,,14.7,
Farmer, Buck,R,93.4,,,85.7,,12.6,
Harvey, Joe,R,93.2,,,,,20.5,
Swanson, Erik,R,93,,,82.8,,29,
Hardy, Blaine,L,93,,57.7,91.7,,,85.5
Yates, Kirby,R,92.9,,,,,,
Hirano, Yoshihisa,R,92.8,,,,,,
Webb, Jacob,R,92.8,,,92.6,,,44.8
Rhame, Jacob,R,92.7,,,,,,
Rodríguez, Richard,R,92.6,90.5,,,,40.2,
Smith, Joe,R,92.6,95,,,,69.5,
Santiago, Héctor,L,92.6,,,88,,25.6,42.2
Clippard, Tyler,R,92.4,90.5,,88.9,,40.5,76.2
Williams, Devin,R,92.4,95.2,,84.8,,,
Cabrera, Génesis,L,92.4,97.5,,91.7,,,56.8
Brebbia, John,R,92.4,,,,,38.8,
Huang, Wei-Chieh,R,92.4,,,76.1,,,89.1
Doolittle, Sean,L,92.2,,,,,40.5,
Neverauskas, Dovydas,R,92.2,,41.2,,,,46.6
Ray, Robbie,L,92.2,95.4,,,,19.3,32.2
Paddack, Chris,R,92,,,77.1,,,74.2
Sanchez, Aaron,R,91.9,94.9,,94.5,,,88.4
Luciano, Elvis,R,91.8,,,83.8,,9.1,
Irvin, Cole,L,91.8,,,80.1,,29.7,
Gibaut, Ian,R,91.6,,,76,,33.8,
Richards, Trevor,R,91.6,,33.2,78.8,,,46.2
Skoglund, Eric,L,91.6,93.1,,72.8,,,37.5
Barnes, Matt,R,91.6,,,,,,67.3
Tropeano, Nick,R,91.5,,,91.7,,18.2,
Keller, Kyle,R,91.4,,,,,,50.2
Odorizzi, Jake,R,91.3,,40.9,,,,71.7
