year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,White, Mitch,669952,R,CH,54,87.3,1543,14.8,0.8089974750423685,0.7653823750153433,142.75046524255697,110.00679551193157,Changeup,77,75,135,32.7436697306254,32.7436697306254,-60,1,15,2,15,1,0,1:15,2:15,-1H 00M
,Kikuchi, Yusei,579328,L,CH,243,87,1568,13.3,0.7172005690689216,0.8906614489566118,220.7190117259849,239.400553481453,Changeup,89,645,600,-18.68154175546809,18.68154175546812,45,10,45,10,0,0,45,10:45,10:00,+0H 45M
,McClanahan, Shane,663556,L,CH,622,87.7,1732,19.4,0.9934101691334709,0.9841000554599988,244.82886920062063,241.3457079468984,Changeup,98,585,600,3.483161253722244,3.483161253722256,-15,9,45,10,0,0,15,9:45,10:00,-0H 15M
,Plesac, Zach,668676,R,CH,481,85.7,1628,16.5,0.8752011874480168,0.9905512969322648,136.8894151777253,133.11252274186702,Changeup,99,90,90,3.7768924358582865,3.7768924358582674,0,1,30,1,30,0,0,1:30,1:30, 0H 00M
,Dunning, Dane,641540,R,CH,513,84,1860,18.4,0.9081952411835998,0.9908343359449531,108.22691789567915,98.10692965897529,Changeup,99,150,165,10.119988236703861,10.119988236703849,-15,2,30,2,45,0,15,2:30,2:45,-0H 15M
,Ashcraft, Graham,668933,R,CH,12,89.8,1776,15,0.7937094489951646,0.8072047818062651,139.50914126062665,107.65645388515924,Changeup,81,75,150,31.85268737546741,31.852687375467415,-75,1,15,2,30,1,15,1:15,2:30,-1H 15M
,Suárez, Ranger,624133,L,CH,533,85,1514,16.2,0.8783243828814712,0.928535510982154,235.01521148988692,254.25670781690576,Changeup,93,615,570,-19.241496327018837,19.24149632701882,45,10,15,9,30,0,45,10:15,9:30,+0H 45M
,Moran, Jovani,663558,L,CH,301,83.3,1809,16,0.8031691810128383,0.8534616905408445,218.11410298291648,245.1700220696131,Changeup,85,645,585,-27.055919086696633,27.055919086696598,60,10,45,9,45,1,0,10:45,9:45,+1H 00M
,Gallen, Zac,668678,R,CH,369,86.2,1539,12.8,0.7283440540489567,0.7931796080838138,139.28109600695495,104.4840174263575,Changeup,79,75,150,34.79707858059746,34.79707858059746,-75,1,15,2,30,1,15,1:15,2:30,-1H 15M
,López, Yoan,661255,R,CH,12,89.1,1009,14.2,0.9964593533462955,0.9040788845947676,151.44251540918216,140.01126123726578,Changeup,90,60,75,11.431254171916379,11.431254171916384,-15,1,0,1,15,0,15,1:00,1:15,-0H 15M
,Falter, Bailey,663559,L,CH,52,83.1,1567,16.4,0.8809730764038513,0.9571269009416298,204.5699735875246,212.3359426834545,Changeup,96,675,660,-7.765969095929904,7.765969095929894,15,11,15,11,0,0,15,11:15,11:00,+0H 15M
,Romero, Jhon,664584,R,CH,11,83,1071,13.2,0.8415652497416786,0.9172137211660419,133.26263441048343,108.63977530112562,Changeup,92,90,150,24.622859109357805,24.622859109357794,-60,1,30,2,30,1,0,1:30,2:30,-1H 00M
,Anderson, Ian,666120,R,CH,662,88.2,1515,14.1,0.8053787991690396,0.9754461432151197,140.70576287691662,128.41828842138642,Changeup,98,75,105,12.287474455530202,12.287474455530202,-30,1,15,1,45,0,30,1:15,1:45,-0H 30M
,Ureña, José,570632,R,CH,264,90.2,1707,14.7,0.852402212613449,0.9724776915018245,127.7513416501028,123.1669881951164,Changeup,97,105,120,4.584353454986399,4.584353454986391,-15,1,45,2,0,0,15,1:45,2:00,-0H 15M
,Farmer, Buck,571656,R,CH,173,88.7,1672,15,0.8135008026205751,0.7686166902490542,113.58375268957441,87.95751063581677,Changeup,77,135,180,25.626242053757636,25.62624205375763,-45,2,15,3,0,0,45,2:15,3:00,-0H 45M
,Nelson, Ryne,669194,R,CH,16,81.8,1873,17.9,0.8833060001389992,0.9871144606046036,122.04503713309879,124.6049597129786,Changeup,99,120,105,-2.55992257987981,2.559922579879817,15,2,0,1,45,0,15,2:00,1:45,+0H 15M
,Cotton, Jharel,605194,R,CH,299,79.7,2392,15,0.660357438718883,0.764557513659826,106.15476278321775,107.73879020617524,Changeup,76,150,150,-1.5840274229574902,1.5840274229575007,0,2,30,2,30,0,0,2:30,2:30, 0H 00M
