"","pitch_type","year","name","percentile"
"109","SI","2016","Albers, Andrew",27.2727272727273
"110","SI","2017","Albers, Andrew",58.2554517133956
"111","SI","2021","Albers, Andrew",51.5503875968992
"112","SL","2017","Albers, Andrew",4.3613707165109
"113","CH","2015","Albers, Matt",42.9824561403509
"114","CH","2016","Albers, Matt",19.9095022624434
"115","CH","2019","Albers, Matt",16.017316017316
"116","FF","2017","Albers, Matt",77.1784232365145
"117","FF","2018","Albers, Matt",39.0593047034765
"118","FF","2019","Albers, Matt",66.6666666666667
"119","SI","2015","Albers, Matt",92.2033898305085
"120","SI","2016","Albers, Matt",5.24475524475525
"121","SI","2017","Albers, Matt",92.2118380062305
"122","SI","2018","Albers, Matt",17.6056338028169
"123","SI","2019","Albers, Matt",84.8591549295775
"124","SL","2017","Albers, Matt",41.7445482866044
"125","SL","2018","Albers, Matt",14.3292682926829
"126","SL","2019","Albers, Matt",43.6260623229462
"127","FA","2022",NA,0
"128","FF","2015","Alburquerque, Al",62.2406639004149
"129","SI","2015","Alburquerque, Al",9.15254237288136
"130","SL","2015","Alburquerque, Al",79.5379537953795
"131","SL","2017","Alburquerque, Al",66.0436137071651
"132","FF","2016","Alcántara, Raúl",48.9711934156379
"133","FF","2017","Alcántara, Raúl",23.0290456431535
"134","SI","2017","Alcántara, Raúl",36.7601246105919
"135","CH","2019","Alcántara, Victor",33.7662337662338
"136","SI","2018","Alcántara, Victor",86.2676056338028
"137","SI","2019","Alcántara, Victor",30.2816901408451
"138","CH","2021","Alcala, Jorge",62.9032258064516
"139","FF","2021","Alcala, Jorge",38.9105058365759
"140","SL","2021","Alcala, Jorge",92.4433249370277
"141","CH","2019","Alcantara, Sandy",32.4675324675325
"142","CH","2021","Alcantara, Sandy",84.6774193548387
"143","CH","2022","Alcantara, Sandy",99.581589958159
"144","CU","2019","Alcantara, Sandy",78.2608695652174
"145","FF","2018","Alcantara, Sandy",29.6523517382413
"146","FF","2019","Alcantara, Sandy",63.1578947368421
"147","FF","2021","Alcantara, Sandy",21.5953307392996
"148","FF","2022","Alcantara, Sandy",68.7898089171974
"149","SI","2018","Alcantara, Sandy",76.056338028169
"150","SI","2019","Alcantara, Sandy",95.4225352112676
"151","SI","2021","Alcantara, Sandy",98.4496124031008
"152","SI","2022","Alcantara, Sandy",93.4707903780069
"153","SL","2018","Alcantara, Sandy",39.3292682926829
"154","SL","2019","Alcantara, Sandy",6.23229461756374
"155","SL","2021","Alcantara, Sandy",52.6448362720403
