year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,McHugh, Collin,543521,R,SL,513,79.5,2790,20,0.8053652311162567,0.5888815593356446,302.9366122461892,278.2274383670409,Slider,59,480,525,24.709173879148295,24.709173879148274,-45,8,0,8,45,0,45,8:00,8:45,-0H 45M
,Tepera, Ryan,572193,R,SL,421,86.5,2352,5.6,0.2526279375324055,0.3526126831249147,190.76501772733664,235.59098171292192,Slider,35,705,615,-44.825963985585275,44.825963985585275,90,11,45,10,15,1,30,11:45,10:15,+1H 30M
,García, Luis,472610,R,SL,144,86,2386,5.8,0.26418303011033645,0.43708564047240966,282.0695695989863,294.5877667836744,Slider,44,510,495,-12.51819718468812,12.51819718468815,15,8,30,8,15,0,15,8:30,8:15,+0H 15M
,Castellani, Ryan,624418,R,SL,28,83.1,2380,5.4,0.27706619620784406,0.31739263103714027,188.85286237809927,218.6803141450333,Slider,32,705,645,-29.82745176693402,29.82745176693402,60,11,45,10,45,1,0,11:45,10:45,+1H 00M
,Garcia, Bryan,650530,R,SL,192,86.7,2285,6.1,0.28042698032985636,0.28418668448208056,203.2214260869035,242.39461710469783,Slider,28,675,600,-39.17319101779432,39.173191017794316,75,11,15,10,0,1,15,11:15,10:00,+1H 15M
,Ruiz, José,614179,R,SL,12,90.2,2295,8,0.36489307274599214,0.4938015785318947,185.84873667748192,214.70160023012156,Slider,49,705,645,-28.852863552639633,28.85286355263963,60,11,45,10,45,1,0,11:45,10:45,+1H 00M
,Ottavino, Adam,493603,R,SL,523,80.6,2744,20.2,0.818648950488727,0.7181891399972565,295.74412240486953,277.4809416953301,Slider,72,495,525,18.263180709539427,18.26318070953935,-30,8,15,8,45,0,30,8:15,8:45,-0H 30M
,Slegers, Aaron,642083,R,SL,184,86,2102,3.8,0.17927791542323998,0.2127252851425763,201.06558028718808,229.16358716509322,Slider,21,675,615,-28.098006877905135,28.098006877905107,60,11,15,10,15,1,0,11:15,10:15,+1H 00M
,Barreda, Manny,518435,R,SL,13,84.8,2292,6.8,0.30375313420624306,0.4189066163702235,231.12696579058152,258.92723238172437,Slider,42,615,555,-27.800266591142844,27.800266591142858,60,10,15,9,15,1,0,10:15,9:15,+1H 00M
,Feyereisen, J.P.,656420,R,SL,266,86.3,2767,6.3,0.2621730262763452,0.2811218685134273,239.0404838790285,269.1390078768649,Slider,28,600,540,-30.098523997836423,30.098523997836384,60,10,0,9,0,1,0,10:00,9:00,+1H 00M
,Clay, Sam,621348,L,SL,194,84.4,2534,13.7,0.5888375646439465,0.3317127537970226,33.38629610162417,61.9894670837819,Slider,33,300,240,-28.603170982157735,28.60317098215773,60,5,0,4,0,1,0,5:00,4:00,+1H 00M
