last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Venters, Jonny,L,,85.4,,,,38.6,
Kontos, George,R,,86.5,29.6,,,32.2,
Alcántara, Victor,R,,90.4,,91.2,,39.2,
Venditte, Pat,L,,48.2,,,,60.7,
Venditte, Pat,R,,64.4,,,,86.7,
Cobb, Alex,R,,94.2,,,,,76.1
Yacabonis, Jimmy,R,,90.1,,86.8,,45.1,
Avilán, Luis,L,,87.6,,56,,,72.2
Cedeño, Xavier,L,,,41.5,,,,72.5
Pazos, James,L,,88.1,,,,33.6,
Wood, Alex,L,,88.8,,81.6,,,22.6
Bleier, Richard,L,,62.3,23.3,82.4,,27.1,
Alexander, Scott,L,,71.8,,82.1,,23.5,
Glover, Koda,R,,92.1,,88.2,,31.2,64.3
Robertson, David,R,,,70.7,,,44.6,73.8
Solís, Sammy,L,,94.8,,82.7,,,61.3
Smith, Carson,R,,72.8,,,,48.4,
Brewer, Colten,R,,,28.4,,,,80.5
Grace, Matt,L,,88,,90.8,,23.6,
Neshek, Pat,R,,84.6,,,,21.2,
Lucchesi, Joey,L,,78,,,,,20.2
Davies, Zach,R,,94.7,47.4,83.6,,,78.2
Stammen, Craig,R,,87.4,23.8,,,,70.8
Fedde, Erick,R,,70.1,23.3,83.6,,48.3,68.8
Walden, Marcus,R,,66.9,25.2,,,60.7,
Matz, Steven,L,,92.2,,82.4,,23.3,70.2
Anderson, Tanner,R,,64.4,,,,15.3,
Britton, Zack,L,,62.8,,,,56.8,
Loup, Aaron,L,,96.7,11.8,87.4,,,83.1
McCarthy, Brandon,R,,82,48.4,,,31.3,73.3
Manaea, Sean,L,,86.3,,62.6,,17.7,
Graveman, Kendall,R,,95.1,43.5,78,,52,
Moylan, Peter,R,,90.7,,80.2,,50.6,
Gsellman, Robert,R,,94.7,,90.5,,26.1,63.5
Petricka, Jake,R,,95.1,,94.2,,10.4,
Fister, Doug,R,,92.5,32,88.1,,,77.7
Hader, Josh,L,,96.5,,,,32.2,
Heaney, Andrew,L,,88.8,,86,,,33.5
Mann, Brandon,L,,93.3,,47.1,,52.4,
Hauschild, Mike,R,,88.9,,91,,15.2,
Meyer, Ben,R,,95.1,,85.1,,,59.2
Claudio, Alex,L,,92.9,,88.4,,39.3,
Sampson, Adrian,R,,88.2,,92.4,,15.1,
Turner, Jacob,R,,82.4,,,,32.2,24.6
Ottavino, Adam,R,,75.4,42.7,,,75.9,
Alvarado, José,L,,86.2,17.5,,,,41
Shaw, Bryan,R,,,38.2,,,69.5,
Harris, Will,R,,,45.5,,,,85.3
