"","player","pitch_type","year","rank","perc","sim_player"
"108",542881,"FF","2021","first","96.5750981094073",656970
"109",542881,"FF","2022","first","96.4582107067812",669276
"110",542882,"FF","2015","first","96.0285973053978",624522
"111",542882,"FF","2016","first","96.5297245558352",607259
"112",542882,"FF","2017","first","96.4111587795319",607259
"113",542882,"FF","2018","first","95.4814364535615",608723
"114",542882,"FF","2019","first","96.3753417162956",607259
"115",542882,"FF","2021","first","97.3311556135715",607259
"116",593969,"FF","2017","first","87.9324687625455",657006
"117",606478,"FF","2018","first","96.1625532249603",681806
"118",644364,"FF","2018","first","97.3317822655093",628452
"119",542587,"FF","2015","first","93.8627131849152",607074
"120",542587,"FF","2016","first","94.0379588657738",669276
"121",502042,"FF","2015","first","95.9229314547157",664353
"122",502042,"FF","2016","first","96.8084109156184",664353
"123",502042,"FF","2017","first","96.4885670668672",593423
"124",502042,"FF","2018","first","96.0044809143436",607259
"125",502042,"FF","2019","first","96.9579637991152",689225
"126",502042,"FF","2021","first","96.6945241759526",668676
"127",502042,"FF","2022","first","97.6800716986455",641582
"128",685503,"FF","2021","first","95.9729423301167",677161
"129",660494,"FF","2019","first","93.8801564203547",434671
"130",542888,"FF","2017","first","96.8382600621796",666201
"131",542888,"FF","2019","first","96.4727452769248",668678
"132",542888,"FF","2021","first","97.6424313897229",668678
"133",542888,"FF","2022","first","97.6099702625768",605242
"134",453562,"FF","2015","first","96.601995984283",592332
"135",453562,"FF","2016","first","94.9993827035749",592332
"136",276520,"FF","2017","first","93.8109535613162",664353
"137",594742,"FF","2015","first","94.7376253624049",656818
"138",594742,"FF","2017","first","93.5219903581229",592346
"139",665871,"FF","2022","first","98.0707114063653",572193
"140",425786,"FF","2015","first","94.3894892496503",605164
"141",501593,"FF","2015","first","95.1892360784552",666214
"142",446099,"FF","2015","first","95.3724207554322",666818
"143",446099,"FF","2016","first","96.7550154826116",657508
"144",446099,"FF","2017","first","95.4020637190566",680694
"145",446099,"FF","2018","first","94.5214211341845",592789
