"","player","pitch_type","year","rank","perc","sim_player"
"108",542881,"FF","2021","first","96.9093333131827",669211
"109",542881,"FF","2022","first","96.924384597562",605138
"110",542882,"FF","2015","first","97.2469702494511",628317
"111",542882,"FF","2016","first","97.5465115895178",628317
"112",542882,"FF","2017","first","98.0420335918345",519455
"113",542882,"FF","2018","first","97.4397870300699",458681
"114",542882,"FF","2019","first","97.6804393505811",458681
"115",542882,"FF","2021","first","98.5364728361708",519455
"116",593969,"FF","2017","first","93.3998370041632",571871
"117",606478,"FF","2018","first","98.2647495217995",592135
"118",644364,"FF","2018","first","97.7611431416981",594577
"119",542587,"FF","2015","first","97.1116747739734",572140
"120",542587,"FF","2016","first","96.108870610312",572140
"121",502042,"FF","2015","first","97.4676322252508",407845
"122",502042,"FF","2016","first","97.3179313632859",407845
"123",502042,"FF","2017","first","97.1152726139204",502028
"124",502042,"FF","2018","first","97.8009552944467",407845
"125",502042,"FF","2019","first","97.3634031124881",461872
"126",502042,"FF","2021","first","97.0013967276162",623454
"127",502042,"FF","2022","first","97.7698338568699",623454
"128",685503,"FF","2021","first","97.4987570591897",489334
"129",660494,"FF","2019","first","97.9503606260143",605446
"130",542888,"FF","2017","first","97.2058294786341",666201
"131",542888,"FF","2019","first","97.7422936170743",592094
"132",542888,"FF","2021","first","97.6424313897229",668678
"133",542888,"FF","2022","first","97.6099702625768",605242
"134",453562,"FF","2015","first","97.4961773803546",571951
"135",453562,"FF","2016","first","96.5836080709776",451783
"136",276520,"FF","2017","first","94.8587239268579",518876
"137",594742,"FF","2015","first","97.8751032742428",517414
"138",594742,"FF","2017","first","96.9429047363227",608717
"139",665871,"FF","2022","first","98.0707114063653",572193
"140",425786,"FF","2015","first","96.5384141648596",112526
"141",501593,"FF","2015","first","97.5937989577591",571893
"142",446099,"FF","2015","first","96.9728913049461",541652
"143",446099,"FF","2016","first","97.6410385171844",541652
"144",446099,"FF","2017","first","96.5489372771898",592454
"145",446099,"FF","2018","first","96.0730338241526",600965
"146",520980,"FF","2015","first","97.6373261102052",516969
"147",520980,"FF","2016","first","97.3070753346393",621052
"148",520980,"FF","2017","first","97.0810172240461",622250
"149",520980,"FF","2018","first","98.25813362825",664199
"150",520980,"FF","2019","first","96.8502428596892",664199
"151",622783,"FF","2018","first","98.2726688035767",622766
"152",544365,"FF","2015","first","96.4345559037",477003
"153",544365,"FF","2019","first","97.4967941926094",663465
"154",544365,"FF","2022","first","96.5375589321234",607455
"155",673258,"FF","2019","first","96.6107863373906",547179
"156",457732,"FF","2016","first","95.6445290296702",605218
"157",456701,"FF","2016","first","97.2133833069961",675921
"158",456701,"FF","2017","first","97.5125240239206",675921
"159",456701,"FF","2018","first","96.8512848085748",501381
"160",456701,"FF","2019","first","97.5438169987534",608337
"161",641329,"FF","2022","first","97.1544976204217",605309
"162",593604,"FF","2021","first","96.6013705458552",607237
"163",444446,"FF","2015","first","97.7564423917788",445612
"164",607455,"FF","2017","first","97.7016666456153",669211
"165",607455,"FF","2018","first","97.1569581685279",606424
"166",607455,"FF","2021","first","98.1325290250616",459429
"167",607455,"FF","2022","first","98.1871839529686",459429
"168",621383,"FF","2022","first","96.8305309508776",663399
"169",670056,"FF","2021","first","96.4587421803324",455374
"170",592127,"FF","2016","first","96.508596502717",276542
"171",453268,"FF","2021","first","95.1467828566766",605143
"172",572703,"FF","2018","first","95.4968354051037",595465
"173",572703,"FF","2019","first","95.760698258136",593576
"174",669618,"FF","2021","first","97.0040171190952",676831
"175",669618,"FF","2022","first","95.8185898057135",664299
"176",605130,"FF","2018","first","94.2417605859533",664208
"177",605130,"FF","2019","first","96.656272442288",641154
"178",605130,"FF","2021","first","97.1378532672119",542888
"179",605130,"FF","2022","first","96.5721365921595",656427
"180",592130,"FF","2017","first","97.2892847866448",543606
"181",592130,"FF","2018","first","96.7129799306189",456501
"182",606930,"FF","2016","first","96.286107907537",672715
"183",606930,"FF","2017","first","96.6426372083561",672715
"184",606930,"FF","2018","first","95.7758438121174",552640
"185",606930,"FF","2019","first","96.7160943098329",542888
"186",606930,"FF","2021","first","97.9209169209578",672715
"187",606930,"FF","2022","first","97.9896194857431",672715
"188",598264,"FF","2015","first","97.3036468299334",592836
"189",598264,"FF","2016","first","98.2561496224923",593140
"190",598264,"FF","2017","first","96.8428270062779",601713
"191",598264,"FF","2018","first","97.327060040153",554430
"192",598264,"FF","2019","first","97.0795702891595",672578
"193",598264,"FF","2021","first","96.9792627122247",544931
"194",598264,"FF","2022","first","97.3929131202511",544931
"195",501817,"FF","2016","first","97.001432464672",592390
"196",501817,"FF","2017","first","96.6643537428239",543243
"197",501817,"FF","2018","first","97.2712045861945",543243
"198",642545,"FF","2018","first","96.7949727316281",519168
"199",642545,"FF","2019","first","96.9793924417861",435221
"200",642545,"FF","2021","first","97.5292055592285",664199
"201",642545,"FF","2022","first","97.1123864242201",533167
"202",607457,"FF","2015","first","97.7355892995178",532077
"203",607457,"FF","2016","first","97.281003308174",543022
"204",607457,"FF","2017","first","96.5492152815425",656605
"205",607457,"FF","2018","first","97.1043138828152",451584
"206",607457,"FF","2019","first","97.3077303688701",429719
"207",607457,"FF","2021","first","97.4651165585004",543144
"208",545332,"FF","2016","first","97.1765423951248",607229
